sex,age,education,education_level,base_income,education_effect,sex_education_bonus,income
Men,53,7.311624784534608,Primary,300,146.23249569069216,100,624.3187088488014
Women,50,10.225118717657482,Secondary,300,204.50237435314963,100,567.7317049994657
Men,28,6.655559514279806,Primary,300,133.1111902855961,100,536.2118715145156
Men,16,10.176409072881215,Secondary,300,203.5281814576243,100,584.1820103908589
Women,41,16.800133282086684,Tertiary,300,336.00266564173364,100,749.712061588487
Men,44,6.516657956955022,Primary,300,130.33315913910045,100,487.9246211536863
Women,41,8.851314972084293,Secondary,300,177.02629944168586,100,443.8670185687719
Women,54,8.568104531664117,Secondary,300,171.36209063328235,100,604.8846001269668
Men,48,11.13618263143829,Secondary,300,222.7236526287658,100,685.8613164700125
Men,45,9.143679226160206,Secondary,300,182.8735845232041,100,642.843066766084
Men,39,11.263728113595857,Secondary,300,225.27456227191715,100,651.7128293292438
Men,33,11.502408295886609,Secondary,300,230.04816591773218,100,725.1548273523365
Women,39,6.792635999344152,Primary,300,135.85271998688305,100,608.7283577483631
Men,29,10.73107971594034,Secondary,300,214.62159431880679,100,651.9129306929428
Men,45,16.533076044156214,Tertiary,300,330.6615208831243,300,1038.965355741493
Women,34,9.987186794112736,Secondary,300,199.74373588225473,100,607.8019779998182
Men,54,10.890799977934908,Secondary,300,217.81599955869814,100,554.3708560816865
Women,54,12.246148621882108,Secondary,300,244.92297243764216,100,617.5105147554406
Men,29,7.116124022819381,Primary,300,142.3224804563876,100,571.2172764872703
Women,37,3.055561457834534,Primary,300,61.111229156690676,100,511.59193146995085
Women,34,10.83971267374133,Secondary,300,216.7942534748266,100,622.5298785435812
Men,38,5.539082797477879,Primary,300,110.78165594955757,100,452.48379739584175
Men,46,10.15597863916646,Secondary,300,203.1195727833292,100,720.7217192915741
Women,32,5.230361139810656,Primary,300,104.60722279621311,100,622.1490797130934
Women,48,11.428398691812708,Secondary,300,228.56797383625417,100,623.8406365409936
Women,24,12.210386279340383,Secondary,300,244.20772558680767,100,684.1264230291969
Men,22,10.186440683065179,Secondary,300,203.72881366130358,100,560.9338557393887
Women,33,9.902548759449525,Secondary,300,198.0509751889905,100,552.4122499985513
Men,36,1.7745054767811723,Primary,300,35.490109535623446,100,490.0120605918536
Women,33,9.234065973848125,Secondary,300,184.6813194769625,100,633.3835015119536
Men,52,10.724874967328509,Secondary,300,214.49749934657018,100,594.8968173850337
Men,36,1.6727899715631285,Primary,300,33.45579943126257,100,507.5363987892731
Women,47,7.164792580329308,Primary,300,143.29585160658615,100,507.8002722445829
Women,27,11.712584655396256,Secondary,300,234.25169310792512,100,664.7273326898554
Men,37,6.83690632597909,Primary,300,136.73812651958178,100,452.5443205148777
Men,37,8.583249756289526,Secondary,300,171.6649951257905,100,644.3630435739167
Men,34,9.248877028369629,Secondary,300,184.97754056739257,100,530.208964587076
Women,46,5.589240826258068,Primary,300,111.78481652516138,100,547.4527720748889
Men,58,10.521371197678787,Secondary,300,210.42742395357575,100,603.0142495795033
Men,37,6.784056604995622,Primary,300,135.68113209991245,100,580.3151897553815
Men,35,12.08908825831821,Secondary,300,241.7817651663642,100,680.2848644162307
Men,43,3.176690522397582,Primary,300,63.53381044795164,100,453.6824917533644
Men,37,13.071566201882865,Secondary,300,261.4313240376573,100,761.2583460904671
Women,50,6.371101939574626,Primary,300,127.42203879149251,100,489.4255518412503
Men,37,11.844373463949058,Secondary,300,236.88746927898114,100,641.9323755043987
Women,40,9.818803298943187,Secondary,300,196.37606597886375,100,580.1594641322763
Men,34,10.505262884850824,Secondary,300,210.10525769701647,100,602.7546845709692
Men,41,13.1250386846251,Secondary,300,262.500773692502,100,717.173209477424
Men,39,8.411182884107545,Secondary,300,168.2236576821509,100,515.7197724727704
Women,26,14.573375093201623,Tertiary,300,291.46750186403244,100,622.8573533740671
Women,35,13.264950339633357,Secondary,300,265.2990067926671,100,790.8125065380802
Women,44,12.255129486706162,Secondary,300,245.10258973412323,100,589.2712143073771
Men,15,3.6571279216755785,Primary,300,73.14255843351157,100,543.5145154520691
Men,37,11.146491942196741,Secondary,300,222.92983884393482,100,685.4593069338755
Women,33,12.210645624196363,Secondary,300,244.21291248392725,100,600.1903153550803
Women,39,17.08047849993309,Tertiary,300,341.6095699986618,100,742.1347470349508
Women,37,5.312344906915655,Primary,300,106.2468981383131,100,465.6913778549097
Women,44,13.929621672787196,Secondary,300,278.5924334557439,100,592.4407526400149
Women,43,11.157651472057736,Secondary,300,223.15302944115473,100,766.0423431247536
Men,35,19.701013521329465,Tertiary,300,394.02027042658926,300,1043.9465511865503
Men,34,15.201530227311103,Tertiary,300,304.0306045462221,300,924.554695417458
Men,42,8.51988846952693,Secondary,300,170.3977693905386,100,486.2746131314886
Men,29,11.799485694571773,Secondary,300,235.98971389143546,100,663.8820384065247
Men,39,12.177813403635142,Secondary,300,243.55626807270284,100,732.5583439611789
Men,43,11.638968318558291,Secondary,300,232.77936637116582,100,659.2460593787724
Women,40,9.020890803166116,Secondary,300,180.41781606332233,100,630.8976399926428
Women,22,15.829214359784544,Tertiary,300,316.5842871956909,100,842.4596038860932
Women,37,10.018007954791663,Secondary,300,200.36015909583327,100,708.6359279867759
Men,34,7.476315970019672,Primary,300,149.52631940039345,100,684.7594155696997
Men,40,2.4869824590463105,Primary,300,49.73964918092621,100,360.01683381192635
Women,38,12.37531127491718,Secondary,300,247.5062254983436,100,614.7964731999729
Women,39,12.608808499297012,Secondary,300,252.17616998594025,100,601.9484017766074
Men,56,12.42528227177396,Secondary,300,248.5056454354792,100,598.1360806564301
Men,26,6.884492996072262,Primary,300,137.68985992144525,100,466.47605663084596
Women,34,6.978097647355375,Primary,300,139.5619529471075,100,633.3472532169197
Women,58,18.48180690853207,Tertiary,300,369.6361381706414,100,694.4459598970317
Men,47,10.9026015051273,Secondary,300,218.052030102546,100,627.0608668863624
Men,48,10.172066442235268,Secondary,300,203.44132884470537,100,527.1357190747337
Men,52,8.757549140654682,Secondary,300,175.15098281309363,100,610.9496439593402
Women,43,15.510168979990766,Tertiary,300,310.2033795998153,100,576.1016600456442
Men,30,6.915770927619845,Primary,300,138.3154185523969,100,537.7861339324388
Men,20,7.085952494309222,Primary,300,141.71904988618445,100,565.5698182350354
Men,42,8.352738039011264,Secondary,300,167.05476078022528,100,589.4756329843367
Women,29,16.036771203288783,Tertiary,300,320.73542406577565,100,757.8206067904371
Women,47,7.61972082851112,Primary,300,152.3944165702224,100,578.1493641882096
Men,57,6.819422108735621,Primary,300,136.38844217471242,100,549.2063997390349
Men,21,5.127431767319472,Primary,300,102.54863534638943,100,529.3516987065996
Men,58,13.82557242087174,Secondary,300,276.5114484174348,100,795.0674572485306
Women,60,8.487078360330692,Secondary,300,169.74156720661384,100,570.6723313324308
Men,38,19.232196594090034,Tertiary,300,384.64393188180065,300,882.1064048886668
Men,43,10.345210417221326,Secondary,300,206.9042083444265,100,611.6064614700003
Men,45,14.617446836216544,Tertiary,300,292.3489367243309,300,928.274753367753
Men,48,1.128103634029129,Primary,300,22.56207268058258,100,332.45634759205433
Women,50,1.5132982493643947,Primary,300,30.265964987287894,100,225.06148674394728
Women,36,10.406253674236236,Secondary,300,208.12507348472474,100,598.2464740848676
Men,56,10.968187037971944,Secondary,300,219.36374075943888,100,593.1177014761575
Men,39,7.719056828777919,Primary,300,154.3811365755584,100,552.6423624626628
Men,55,9.910207215269091,Secondary,300,198.20414430538182,100,629.79964213344
Men,36,8.759855836030837,Secondary,300,175.19711672061675,100,570.8059088056658
Men,34,18.91006941001848,Tertiary,300,378.2013882003696,300,1009.1787820154643
Men,43,8.774000898802505,Secondary,300,175.4800179760501,100,583.4417538058229
Women,50,12.687647313428135,Secondary,300,253.7529462685627,100,525.1169124175682
Women,33,7.684042529394483,Primary,300,153.68085058788967,100,646.7550188510194
Men,57,8.056422485916867,Secondary,300,161.12844971833735,100,630.1836099089965
Men,45,3.1778283122766906,Primary,300,63.556566245533816,100,484.7916934507188
Women,39,2.819872287348609,Primary,300,56.39744574697218,100,565.6731012142109
Men,33,13.012804322976887,Secondary,300,260.25608645953776,100,645.2230384585694
Women,35,5.078825801984297,Primary,300,101.57651603968594,100,512.1231117954254
Men,60,13.550491553838306,Secondary,300,271.0098310767661,100,740.0454644859673
Men,53,13.990529304685019,Secondary,300,279.8105860937004,100,825.9637352451022
Women,37,11.654794183138291,Secondary,300,233.09588366276583,100,669.5055779651755
Men,47,9.749926142139199,Secondary,300,194.99852284278398,100,574.4436043536969
Men,45,17.31746483378219,Tertiary,300,346.3492966756438,300,943.5631457884848
Men,40,8.641688134344902,Secondary,300,172.83376268689804,100,646.5469361307471
Women,34,5.766738579973541,Primary,300,115.33477159947083,100,403.2834597568278
Women,39,8.885233607804391,Secondary,300,177.70467215608784,100,506.44845771959865
Men,34,5.708849761709717,Primary,300,114.17699523419435,100,492.2791530162392
Women,40,7.255097251982332,Primary,300,145.10194503964664,100,552.7246184634662
Men,43,14.021970284568567,Tertiary,300,280.43940569137135,300,966.3626837602005
Men,38,6.6807863774416045,Primary,300,133.6157275488321,100,517.4806263673182
Men,43,14.243723002804284,Tertiary,300,284.8744600560857,300,870.12070109231
Women,33,11.407943326423363,Secondary,300,228.15886652846726,100,497.74630486191126
Men,49,12.600728106145493,Secondary,300,252.01456212290987,100,663.3761230107225
Women,35,9.516012187683055,Secondary,300,190.3202437536611,100,629.1791542983158
Women,44,11.69566663640883,Secondary,300,233.9133327281766,100,597.8121799909887
Men,44,10.126339050166433,Secondary,300,202.52678100332867,100,590.6425935314661
Men,47,10.556226780107277,Secondary,300,211.12453560214556,100,657.1094281582957
Men,41,8.512147534242509,Secondary,300,170.24295068485017,100,470.3167886526786
Women,61,10.466605765115492,Secondary,300,209.33211530230983,100,591.1187398668964
Women,52,8.685159793395961,Secondary,300,173.70319586791922,100,628.6319168771242
Men,33,20,Tertiary,300,400,300,1097.4680559475755
Men,17,14.711289055366208,Tertiary,300,294.22578110732417,300,893.706069541141
Women,44,12.444306676533563,Secondary,300,248.88613353067126,100,707.1459785413525
Women,26,16.056055473505268,Tertiary,300,321.12110947010535,100,779.18546627065
Men,40,7.630734961914207,Primary,300,152.61469923828415,100,612.4167407012276
Men,37,13.328643229223662,Secondary,300,266.5728645844732,100,696.6521779082291
Men,24,16.863504185960423,Tertiary,300,337.27008371920846,300,929.2027575694854
Men,33,10.304735967221845,Secondary,300,206.0947193444369,100,666.7110254986553
Men,53,13.318010187317755,Secondary,300,266.3602037463551,100,561.7773015905515
Women,27,13.595966606345106,Secondary,300,271.91933212690213,100,653.88914945307
Women,40,14.33060685606874,Tertiary,300,286.6121371213748,100,648.5848038471229
Women,22,14.76105662822561,Tertiary,300,295.22113256451223,100,620.5382014413985
Men,26,11.05393583023586,Secondary,300,221.0787166047172,100,523.6340489785956
Men,27,8.513001638316034,Secondary,300,170.26003276632068,100,578.984409288948
Men,48,10.17048025396208,Secondary,300,203.4096050792416,100,615.8127525775061
Women,32,11.539260395498145,Secondary,300,230.7852079099629,100,669.199606934021
Women,44,12.209098093772111,Secondary,300,244.18196187544223,100,639.840201941216
Women,65,5.620805152234182,Primary,300,112.41610304468365,100,506.5161555461552
Women,49,15.427930684106949,Tertiary,300,308.55861368213897,100,741.5451601234296
Men,39,16.030246619090942,Tertiary,300,320.60493238181886,300,848.8957829700461
Men,34,10.055656271491983,Secondary,300,201.11312542983967,100,510.9071098686047
Men,37,9.204413471711034,Secondary,300,184.08826943422068,100,508.00879067414184
Men,39,2.2359706154507597,Primary,300,44.7194123090152,100,518.5100420622305
Men,25,9.315968356163214,Secondary,300,186.31936712326427,100,614.559929808773
Men,46,12.659896776682636,Secondary,300,253.19793553365272,100,546.1434937255481
Women,33,10.639057560372665,Secondary,300,212.7811512074533,100,589.1447224787139
Women,42,15.816702727617102,Tertiary,300,316.334054552342,100,649.3312234935985
Men,61,11.60733340246157,Secondary,300,232.1466680492314,100,571.9324407117973
Men,22,12.23985633138124,Secondary,300,244.7971266276248,100,676.8305683595336
Women,37,10.008874713935116,Secondary,300,200.1774942787023,100,577.5898540285132
Women,27,2.9768465061371785,Primary,300,59.53693012274357,100,420.1759034529948
Men,44,16.49322082773557,Tertiary,300,329.8644165547114,300,1042.547849630719
Men,49,11.834109745893205,Secondary,300,236.68219491786408,100,631.3859227002425
Women,44,0,Primary,300,0,100,467.38972912174586
Women,34,10.056623660181243,Secondary,300,201.13247320362487,100,544.0653362630678
Men,35,16.15878300782446,Tertiary,300,323.17566015648924,300,848.1749515420145
Women,37,7.463608769311378,Primary,300,149.27217538622756,100,479.1176384903822
Men,48,12.165415851851922,Secondary,300,243.30831703703842,100,660.731554181377
Men,25,13.416851996310452,Secondary,300,268.33703992620906,100,640.7869333936145
Men,53,7.295649409134578,Primary,300,145.91298818269155,100,420.7412425245081
Women,46,12.009629931707043,Secondary,300,240.19259863414084,100,646.461917404531
Men,51,10.038232263948938,Secondary,300,200.76464527897878,100,607.7604828479436
Women,33,7.212867810092376,Primary,300,144.25735620184753,100,506.35174048838945
Men,53,13.913018600499381,Secondary,300,278.26037200998763,100,879.0974679464445
Women,45,11.734327795975112,Secondary,300,234.68655591950224,100,604.9810783570433
Men,57,13.929718643888481,Secondary,300,278.5943728777696,100,611.5436102884237
Women,38,12.892872323831217,Secondary,300,257.8574464766243,100,633.1076187129629
Women,32,9.767980673478016,Secondary,300,195.35961346956032,100,600.3690937129265
Men,55,7.608096796803856,Primary,300,152.16193593607713,100,519.0575143691065
Men,42,7.534671123730114,Primary,300,150.69342247460227,100,589.8314616463385
Men,29,11.809048736291183,Secondary,300,236.18097472582366,100,695.6136484016658
Women,39,12.15343106828301,Secondary,300,243.06862136566022,100,578.547217718875
Men,40,9.0745801129345,Secondary,300,181.49160225869,100,609.8811302862715
Men,43,12.34144893928135,Secondary,300,246.828978785627,100,629.7432016200239
Women,44,15.851122812024666,Tertiary,300,317.02245624049334,100,794.2790574158446
Women,54,14.38435729412432,Tertiary,300,287.6871458824864,100,716.4346611777905
Women,45,11.852896673376083,Secondary,300,237.05793346752165,100,559.0165228216197
Women,22,9.526570054261494,Secondary,300,190.5314010852299,100,683.5806991844028
Women,41,7.554171687362252,Primary,300,151.08343374724504,100,560.8039906596578
Women,49,12.406891559728013,Secondary,300,248.13783119456025,100,728.887960807959
Men,21,3.995360773401945,Primary,300,79.9072154680389,100,417.8400938381884
Men,40,12.4376778111409,Secondary,300,248.753556222818,100,620.6520369758598
Women,44,13.016136527004038,Secondary,300,260.3227305400808,100,783.4303272947351
Men,55,20,Tertiary,300,400,300,996.7019513282804
Women,57,11.932943344535751,Secondary,300,238.65886689071502,100,736.1644148014698
Women,34,7.826582157055407,Primary,300,156.53164314110813,100,515.1887425132494
Women,36,20,Tertiary,300,400,100,818.0640059531097
Men,55,10.680115785292585,Secondary,300,213.6023157058517,100,607.4754062526623
Men,34,12.349123661209573,Secondary,300,246.98247322419147,100,676.1151388775947
Men,31,6.076140878858441,Primary,300,121.52281757716881,100,483.75352213309185
Men,40,7.562360495623453,Primary,300,151.24720991246906,100,435.72161151408295
Men,42,17.884858810304692,Tertiary,300,357.69717620609384,300,1006.7745378196122
Women,50,6.492650329967151,Primary,300,129.85300659934302,100,636.5659310922946
Men,35,11.317938664319437,Secondary,300,226.35877328638873,100,712.1169881936682
Women,33,6.824871637736808,Primary,300,136.49743275473617,100,537.9505453010412
Women,26,13.822742345304409,Secondary,300,276.45484690608816,100,725.5514710510346
Men,35,12.31768356703662,Secondary,300,246.35367134073238,100,505.2786565690259
Men,50,20,Tertiary,300,400,300,1002.6705246534791
Men,28,14.824640417262037,Tertiary,300,296.49280834524075,300,919.7320185528902
Men,22,15.058744979685592,Tertiary,300,301.17489959371187,300,880.7184513985925
Men,57,9.555745959568517,Secondary,300,191.11491919137035,100,656.3722630352067
Women,52,6.051017631830291,Primary,300,121.02035263660582,100,497.6226955605109
Men,26,8.943298262121361,Secondary,300,178.86596524242722,100,623.8501563654236
Women,43,8.90292556983551,Secondary,300,178.0585113967102,100,672.1932486410784
Men,39,10.9897444717404,Secondary,300,219.794889434808,100,655.9440239944562
Men,43,11.695089099245235,Secondary,300,233.90178198490472,100,671.764184935658
Women,39,8.542739627350347,Secondary,300,170.85479254700692,100,553.2941950882418
Men,29,6.620577435535342,Primary,300,132.41154871070682,100,460.57262573561087
Women,35,4.845830269569088,Primary,300,96.91660539138176,100,462.31474332924273
Women,43,7.255199067440808,Primary,300,145.10398134881615,100,509.4792413122676
Men,44,10.445144994704222,Secondary,300,208.90289989408444,100,540.5220596570707
Women,31,6.476008299343188,Primary,300,129.52016598686376,100,656.7055727938921
Men,47,11.56182935336962,Secondary,300,231.23658706739238,100,589.8463316054882
Men,43,10.94632402864137,Secondary,300,218.92648057282742,100,582.7289337445684
Women,45,5.29116204215759,Primary,300,105.82324084315181,100,525.2686539264101
Men,37,1.9255489583133212,Primary,300,38.510979166266424,100,368.5856713240753
Women,33,10.742537897007171,Secondary,300,214.8507579401434,100,731.851496314307
Men,34,3.5189955673235938,Primary,300,70.37991134647187,100,522.2614071880087
Women,24,6.927429488015445,Primary,300,138.54858976030891,100,492.89924934676105
Women,25,9.029814015380493,Secondary,300,180.59628030760987,100,491.05917649413067
Men,42,8.269048387597604,Secondary,300,165.38096775195208,100,661.2128771348185
Women,39,11.113224115623556,Secondary,300,222.2644823124711,100,563.0498490455243
Men,32,14.50388110340313,Tertiary,300,290.07762206806257,300,953.1172530250609
Women,44,10.923685233126779,Secondary,300,218.47370466253557,100,552.6140184241328
Women,36,5.01045754742944,Primary,300,100.2091509485888,100,544.7726307171711
Women,43,2.6247570188398113,Primary,300,52.49514037679623,100,448.36260638171603
Women,33,13.449540243967991,Secondary,300,268.9908048793598,100,628.9896395168921
Men,29,0.3255319335121918,Primary,300,6.510638670243836,100,407.32132780278397
Women,42,10.851368827753092,Secondary,300,217.02737655506184,100,599.8961535679043
Women,31,12.25977488826782,Secondary,300,245.1954977653564,100,658.3802579280997
Women,48,9.255469639181742,Secondary,300,185.10939278363483,100,609.5715901462125
Women,30,7.555859488989533,Primary,300,151.11718977979066,100,518.5073428701876
Men,38,14.13360479120039,Tertiary,300,282.6720958240078,300,903.6042865701417
Men,32,15.580347390679677,Tertiary,300,311.60694781359354,300,900.6433212621347
Men,23,2.5046288971290194,Primary,300,50.09257794258039,100,368.9712085362933
Men,50,7.702940849830086,Primary,300,154.05881699660173,100,479.687694201844
Men,22,14.931241221368303,Tertiary,300,298.6248244273661,300,839.8567845801132
Men,62,9.937175946719295,Secondary,300,198.7435189343859,100,577.1105173677845
Women,51,11.03922477748019,Secondary,300,220.78449554960378,100,496.9579590864414
Women,41,12.098998977544934,Secondary,300,241.9799795508987,100,573.5608717918897
Men,28,10.50936223124648,Secondary,300,210.18724462492958,100,687.5529192914477
Men,59,5.842255252310003,Primary,300,116.84510504620006,100,543.5508937071763
Men,35,10.37905371506178,Secondary,300,207.5810743012356,100,521.1085760398142
Men,30,11.648926955169433,Secondary,300,232.97853910338864,100,611.1667029232241
Women,26,12.575840393591596,Secondary,300,251.51680787183193,100,681.345553143839
Women,55,14.110591307899544,Tertiary,300,282.21182615799086,100,578.6043325382612
Men,40,15.03137727867097,Tertiary,300,300.6275455734194,300,854.2692482863838
Men,32,3.974930440348067,Primary,300,79.49860880696134,100,503.8610602364265
Women,44,2.8586879317599836,Primary,300,57.173758635199675,100,468.25024428690614
Men,46,6.688955658939998,Primary,300,133.77911317879995,100,612.7199998225956
Women,36,9.769054500446986,Secondary,300,195.3810900089397,100,700.993410941329
Men,57,17.189875130643298,Tertiary,300,343.79750261286597,300,1046.8386567708187
Women,37,17.04163821394566,Tertiary,300,340.8327642789132,100,749.8011958179939
Women,54,10.86651210516779,Secondary,300,217.33024210335577,100,633.3650926442125
Women,24,10.347452387667566,Secondary,300,206.94904775335132,100,632.7607419758007
Women,38,15.207046808206638,Tertiary,300,304.14093616413277,100,761.0684790954768
Women,43,8.993139840019968,Secondary,300,179.86279680039934,100,585.8948434682666
Men,55,11.563127358140516,Secondary,300,231.26254716281034,100,531.1005658870508
Men,36,7.034524105768551,Primary,300,140.69048211537103,100,551.3187126172904
Women,36,15.941041403125734,Tertiary,300,318.8208280625147,100,674.1765658389826
Men,29,9.530545203754093,Secondary,300,190.61090407508186,100,600.4786346990892
Men,17,9.47601342896194,Secondary,300,189.5202685792388,100,537.6239623083598
Men,35,7.9308171499711,Primary,300,158.616342999422,100,579.381706900975
Women,41,3.979836887394221,Primary,300,79.59673774788442,100,482.4792809522331
Women,40,6.010951771481812,Primary,300,120.21903542963625,100,531.7317276702388
Men,41,3.4096803415779258,Primary,300,68.19360683155851,100,619.6586758214922
Men,33,19.82053284643729,Tertiary,300,396.41065692874577,300,905.1150389382619
Men,25,5.504319180776855,Primary,300,110.08638361553709,100,546.9502916849781
Men,28,13.434385334021485,Secondary,300,268.6877066804297,100,728.5584080447379
Women,53,8.324380409577499,Secondary,300,166.48760819154998,100,499.68360280380676
Men,53,12.15232299269183,Secondary,300,243.0464598538366,100,603.7832732921606
Men,17,10.775658550933763,Secondary,300,215.51317101867525,100,602.7916430980996
Women,42,5.696005205784382,Primary,300,113.92010411568764,100,679.425162952124
Men,60,9.65000092556397,Secondary,300,193.00001851127942,100,614.54464232936175
Men,32,6.229729739650946,Primary,300,124.59459479301891,100,478.85253460009386
Men,26,12.912375679970793,Secondary,300,258.24751359941587,100,767.2319854121675
Women,32,14.450340447241192,Tertiary,300,289.00680894482383,100,650.4897027165393
Women,41,11.340221179737952,Secondary,300,226.80442359475904,100,578.6583360332545
Men,40,17.003783825097376,Tertiary,300,340.0756765019475,300,899.7241303118346
Men,49,11.531291248652627,Secondary,300,230.62582497305254,100,584.243418050623
Men,52,12.479322185365934,Secondary,300,249.58644370731867,100,612.4648108153829
Men,49,11.837870781091855,Secondary,300,236.75741562183708,100,628.6679288128823
Women,41,10.677282578477309,Secondary,300,213.54565156954618,100,669.900282168216
Women,28,11.40522027319161,Secondary,300,228.1044054638322,100,612.3092929357354
Women,36,8.174183012138714,Secondary,300,163.48366024277428,100,584.8500154868451
Women,48,4.786568911032054,Primary,300,95.73137822064109,100,516.9314602801487
Men,51,5.782688631539512,Primary,300,115.65377263079023,100,458.6852645481653
Women,34,14.519425197744042,Tertiary,300,290.38850395488083,100,819.1731925868261
Women,44,12.00281380062706,Secondary,300,240.0562760125412,100,672.0646938435725
Women,40,8.259364698086989,Secondary,300,165.18729396173978,100,508.5675511830125
Men,35,8.006701863036062,Secondary,300,160.13403726072124,100,570.9585905402366
Men,32,8.426590167621011,Secondary,300,168.53180335242024,100,629.6884120640453
Men,37,11.042806038650287,Secondary,300,220.85612077300573,100,658.9741357680332
Men,43,8.536805337728698,Secondary,300,170.73610675457394,100,671.6188819884175
Men,31,14.03446188007442,Tertiary,300,280.6892376014884,300,883.1657831381774
Women,41,13.6738553654052,Secondary,300,273.477107308104,100,669.7842489342261
Women,34,10.706758879100313,Secondary,300,214.13517758200626,100,614.1896127969231
Women,39,4.412354410998172,Primary,300,88.24708821996344,100,454.80696509402185
Men,31,12.954630408777351,Secondary,300,259.092608175547,100,660.4221405689531
Women,59,10.439375459982598,Secondary,300,208.78750919965196,100,574.6094682750391
Men,51,15.42570243924764,Tertiary,300,308.5140487849528,300,961.8317887036542
Women,33,3.6040041919241226,Primary,300,72.08008383848245,100,439.4453740706085
Men,29,7.355407837052798,Primary,300,147.10815674105595,100,572.3736735156447
Women,49,7.681205070653763,Primary,300,153.62410141307527,100,479.48439636496573
Men,58,11.749931449054383,Secondary,300,234.99862898108768,100,688.4108746995946
Women,56,12.093296474681797,Secondary,300,241.86592949363592,100,598.3368984311427
Men,49,8.477952289702882,Secondary,300,169.55904579405765,100,669.4530135686861
Men,57,6.591253602073527,Primary,300,131.82507204147055,100,498.0648421828953
Women,49,10.620295604485174,Secondary,300,212.40591208970346,100,637.4382826369043
Men,28,4.610555150382731,Primary,300,92.21110300765461,100,517.158395786313
Men,29,8.383602818477684,Secondary,300,167.67205636955367,100,599.1689260484293
Women,45,9.80582249555641,Secondary,300,196.1164499111282,100,574.2615492756023
Women,56,3.645750022131641,Primary,300,72.91500044263282,100,494.49280234239586
Men,39,13.619595460898228,Secondary,300,272.39190921796455,100,604.7667514209712
Men,44,11.710415432972884,Secondary,300,234.20830865945766,100,687.5977986970582
Men,43,16.293261002619282,Tertiary,300,325.86522005238567,300,1022.9327031941723
Women,34,9.485523366642685,Secondary,300,189.71046733285368,100,600.1902076732946
Men,35,8.507849275859389,Secondary,300,170.15698551718776,100,681.4388546172029
Women,36,15.609857405039271,Tertiary,300,312.1971481007854,100,654.1510125481936
Men,33,7.47099298052495,Primary,300,149.419859610499,100,469.81466765987807
Men,54,16.017495142252454,Tertiary,300,320.3499028450491,300,951.1055592097867
Men,43,13.014364648396864,Secondary,300,260.2872929679373,100,713.156889275959
Women,25,10.799955515704726,Secondary,300,215.9991103140945,100,516.3822277915602
Men,65,9.242026857482477,Secondary,300,184.84053714964955,100,676.2226783043645
